import time: self [us] | cumulative | imported package
import time:       316 |        316 |               openai.types.websocket_connection_options
import time:       386 |        386 |               openai.types.image_create_variation_params
import time:       950 |     197462 |             openai.types
import time:       409 |        409 |               openai._exceptions
import time:       394 |        394 |               openai._qs
import time:       111 |        111 |               openai._version
import time:       515 |        515 |                               openai._streaming
import time:     14711 |      15225 |                             openai._legacy_response
import time:       187 |        187 |                             openai._resource
import time:       909 |        909 |                             openai._response
import time:      1204 |       1204 |                                   argparse
import time:      1017 |       2220 |                                 distro.distro
import time:       203 |       2422 |                               distro
import time:      2773 |       5195 |                             openai._base_client
import time:       170 |        170 |                                   openai.lib._pydantic
import time:       511 |        511 |                                         openai.types.responses.computer_tool
import time:       513 |        513 |                                         openai.types.responses.function_tool
import time:       939 |        939 |                                         openai.types.responses.web_search_tool
import time:      1151 |       1151 |                                         openai.types.responses.file_search_tool
import time:       452 |       3564 |                                       openai.types.responses.tool
import time:       469 |        469 |                                         openai.types.responses.response_error
import time:       885 |        885 |                                         openai.types.responses.response_usage
import time:       193 |        193 |                                         openai.types.responses.response_status
import time:       417 |        417 |                                         openai.types.responses.tool_choice_types
import time:       172 |        172 |                                         openai.types.responses.tool_choice_options
import time:      1329 |       1329 |                                             openai.types.responses.response_output_text
import time:       397 |        397 |                                             openai.types.responses.response_output_refusal
import time:       653 |       2378 |                                           openai.types.responses.response_output_message
import time:       761 |        761 |                                           openai.types.responses.response_reasoning_item
import time:      3509 |       3509 |                                           openai.types.responses.response_computer_tool_call
import time:       511 |        511 |                                           openai.types.responses.response_function_tool_call
import time:       438 |        438 |                                           openai.types.responses.response_function_web_search
import time:      1069 |       1069 |                                           openai.types.responses.response_file_search_tool_call
import time:       340 |       9004 |                                         openai.types.responses.response_output_item
import time:       529 |        529 |                                             openai.types.responses.response_format_text_json_schema_config
import time:       201 |        729 |                                           openai.types.responses.response_format_text_config
import time:       499 |       1228 |                                         openai.types.responses.response_text_config
import time:       421 |        421 |                                         openai.types.responses.tool_choice_function
import time:      1967 |      14752 |                                       openai.types.responses.response
import time:       300 |        300 |                                         openai.types.responses.computer_tool_param
import time:       312 |        312 |                                         openai.types.responses.function_tool_param
import time:       380 |        380 |                                         openai.types.responses.web_search_tool_param
import time:       357 |        357 |                                         openai.types.responses.file_search_tool_param
import time:       324 |       1671 |                                       openai.types.responses.tool_param
import time:       460 |        460 |                                               openai.types.responses.response_input_file
import time:       379 |        379 |                                               openai.types.responses.response_input_text
import time:       462 |        462 |                                               openai.types.responses.response_input_image
import time:       206 |       1505 |                                             openai.types.responses.response_input_content
import time:       133 |       1638 |                                           openai.types.responses.response_input_message_content_list
import time:       550 |       2188 |                                         openai.types.responses.response_input_message_item
import time:       619 |        619 |                                         openai.types.responses.response_function_tool_call_item
import time:       425 |        425 |                                           openai.types.responses.response_computer_tool_call_output_screenshot
import time:       881 |       1305 |                                         openai.types.responses.response_computer_tool_call_output_item
import time:       520 |        520 |                                         openai.types.responses.response_function_tool_call_output_item
import time:       384 |       5014 |                                       openai.types.responses.response_item
import time:      2953 |       2953 |                                       openai.types.responses.parsed_response
import time:       622 |        622 |                                       openai.types.responses.response_item_list
import time:       221 |        221 |                                       openai.types.responses.response_includable
import time:       684 |        684 |                                       openai.types.responses.response_error_event
import time:       229 |        229 |                                             openai.types.responses.response_input_file_param
import time:       209 |        209 |                                             openai.types.responses.response_input_text_param
import time:       235 |        235 |                                             openai.types.responses.response_input_image_param
import time:       203 |        875 |                                           openai.types.responses.response_input_message_content_list_param
import time:       288 |       1162 |                                         openai.types.responses.easy_input_message_param
import time:       496 |        496 |                                           openai.types.responses.response_output_text_param
import time:       194 |        194 |                                           openai.types.responses.response_output_refusal_param
import time:       368 |       1056 |                                         openai.types.responses.response_output_message_param
import time:       371 |        371 |                                         openai.types.responses.response_reasoning_item_param
import time:      1084 |       1084 |                                         openai.types.responses.response_computer_tool_call_param
import time:       310 |        310 |                                         openai.types.responses.response_function_tool_call_param
import time:       282 |        282 |                                         openai.types.responses.response_function_web_search_param
import time:       422 |        422 |                                         openai.types.responses.response_file_search_tool_call_param
import time:       258 |        258 |                                         openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:      1077 |       6019 |                                       openai.types.responses.response_input_param
import time:       539 |        539 |                                       openai.types.responses.response_failed_event
import time:       440 |        440 |                                         openai.types.responses.response_created_event
import time:       439 |        439 |                                         openai.types.responses.response_completed_event
import time:       497 |        497 |                                         openai.types.responses.response_text_done_event
import time:       422 |        422 |                                         openai.types.responses.response_audio_done_event
import time:       433 |        433 |                                         openai.types.responses.response_incomplete_event
import time:       516 |        516 |                                         openai.types.responses.response_text_delta_event
import time:       416 |        416 |                                         openai.types.responses.response_audio_delta_event
import time:       428 |        428 |                                         openai.types.responses.response_in_progress_event
import time:       490 |        490 |                                         openai.types.responses.response_refusal_done_event
import time:      1586 |       1586 |                                         openai.types.responses.response_refusal_delta_event
import time:       532 |        532 |                                         openai.types.responses.response_output_item_done_event
import time:       679 |        679 |                                         openai.types.responses.response_content_part_done_event
import time:       507 |        507 |                                         openai.types.responses.response_output_item_added_event
import time:       582 |        582 |                                         openai.types.responses.response_content_part_added_event
import time:       421 |        421 |                                         openai.types.responses.response_audio_transcript_done_event
import time:      1442 |       1442 |                                         openai.types.responses.response_text_annotation_delta_event
import time:       521 |        521 |                                         openai.types.responses.response_audio_transcript_delta_event
import time:       475 |        475 |                                         openai.types.responses.response_web_search_call_completed_event
import time:       460 |        460 |                                         openai.types.responses.response_web_search_call_searching_event
import time:       470 |        470 |                                         openai.types.responses.response_file_search_call_completed_event
import time:       459 |        459 |                                         openai.types.responses.response_file_search_call_searching_event
import time:       480 |        480 |                                         openai.types.responses.response_web_search_call_in_progress_event
import time:       467 |        467 |                                         openai.types.responses.response_file_search_call_in_progress_event
import time:       501 |        501 |                                         openai.types.responses.response_function_call_arguments_done_event
import time:       483 |        483 |                                         openai.types.responses.response_function_call_arguments_delta_event
import time:       459 |        459 |                                         openai.types.responses.response_code_interpreter_call_code_done_event
import time:      1445 |       1445 |                                           openai.types.responses.response_code_interpreter_tool_call
import time:       528 |       1972 |                                         openai.types.responses.response_code_interpreter_call_completed_event
import time:       451 |        451 |                                         openai.types.responses.response_code_interpreter_call_code_delta_event
import time:       472 |        472 |                                         openai.types.responses.response_code_interpreter_call_in_progress_event
import time:       444 |        444 |                                         openai.types.responses.response_code_interpreter_call_interpreting_event
import time:       796 |      18726 |                                       openai.types.responses.response_stream_event
import time:       344 |        344 |                                       openai.types.responses.input_item_list_params
import time:       235 |        235 |                                         openai.types.responses.tool_choice_types_param
import time:       307 |        307 |                                             openai.types.responses.response_format_text_json_schema_config_param
import time:       178 |        485 |                                           openai.types.responses.response_format_text_config_param
import time:       221 |        705 |                                         openai.types.responses.response_text_config_param
import time:       252 |        252 |                                         openai.types.responses.tool_choice_function_param
import time:       840 |       2031 |                                       openai.types.responses.response_create_params
import time:       262 |        262 |                                       openai.types.responses.response_retrieve_params
import time:       870 |        870 |                                       openai.types.responses.response_input_item_param
import time:       202 |        202 |                                       openai.types.responses.response_input_content_param
import time:       556 |      59024 |                                     openai.types.responses
import time:        20 |      59043 |                                   openai.types.responses.function_tool_param
import time:       281 |      59493 |                                 openai.lib._tools
import time:       447 |        447 |                                   openai.lib._parsing._completions
import time:       155 |        601 |                                 openai.lib._parsing
import time:       161 |      60255 |                               openai.lib
import time:        20 |      60274 |                             openai.lib._parsing
import time:      2680 |       2680 |                                     openai.types.beta.thread
import time:       365 |        365 |                                         openai.types.beta.function_tool
import time:      1095 |       1095 |                                         openai.types.beta.file_search_tool
import time:       394 |        394 |                                         openai.types.beta.code_interpreter_tool
import time:       337 |       2190 |                                       openai.types.beta.assistant_tool
import time:       285 |        285 |                                       openai.types.beta.assistant_response_format_option
import time:      2955 |       5429 |                                     openai.types.beta.assistant
import time:       772 |        772 |                                     openai.types.beta.thread_deleted
import time:       745 |        745 |                                     openai.types.beta.assistant_deleted
import time:       545 |        545 |                                     openai.types.beta.function_tool_param
import time:       421 |        421 |                                       openai.types.beta.file_search_tool_param
import time:       295 |        295 |                                       openai.types.beta.code_interpreter_tool_param
import time:       270 |        985 |                                     openai.types.beta.assistant_tool_param
import time:       162 |        162 |                                             openai.types.beta.threads.run_status
import time:       482 |        482 |                                                 openai.types.beta.assistant_tool_choice_function
import time:       468 |        949 |                                               openai.types.beta.assistant_tool_choice
import time:       164 |       1112 |                                             openai.types.beta.assistant_tool_choice_option
import time:       707 |        707 |                                             openai.types.beta.threads.required_action_function_tool_call
import time:      3305 |       5285 |                                           openai.types.beta.threads.run
import time:       839 |        839 |                                               openai.types.beta.threads.file_path_annotation
import time:       673 |        673 |                                               openai.types.beta.threads.file_citation_annotation
import time:       241 |       1752 |                                             openai.types.beta.threads.annotation
import time:       465 |       2217 |                                           openai.types.beta.threads.text
import time:       428 |        428 |                                               openai.types.beta.threads.text_content_block
import time:       392 |        392 |                                               openai.types.beta.threads.refusal_content_block
import time:       495 |        495 |                                                 openai.types.beta.threads.image_url
import time:       428 |        922 |                                               openai.types.beta.threads.image_url_content_block
import time:       365 |        365 |                                                 openai.types.beta.threads.image_file
import time:       480 |        844 |                                               openai.types.beta.threads.image_file_content_block
import time:       250 |       2834 |                                             openai.types.beta.threads.message_content
import time:      1735 |       4569 |                                           openai.types.beta.threads.message
import time:       706 |        706 |                                               openai.types.beta.threads.file_path_delta_annotation
import time:       777 |        777 |                                               openai.types.beta.threads.file_citation_delta_annotation
import time:       214 |       1696 |                                             openai.types.beta.threads.annotation_delta
import time:       540 |       2236 |                                           openai.types.beta.threads.text_delta
import time:       425 |        425 |                                               openai.types.beta.threads.text_delta_block
import time:       444 |        444 |                                               openai.types.beta.threads.refusal_delta_block
import time:       464 |        464 |                                                 openai.types.beta.threads.image_url_delta
import time:       509 |        972 |                                               openai.types.beta.threads.image_url_delta_block
import time:       389 |        389 |                                                 openai.types.beta.threads.image_file_delta
import time:       480 |        869 |                                               openai.types.beta.threads.image_file_delta_block
import time:       257 |       2964 |                                             openai.types.beta.threads.message_content_delta
import time:       503 |       3467 |                                           openai.types.beta.threads.message_delta
import time:       228 |        228 |                                           openai.types.beta.threads.image_url_param
import time:       490 |        490 |                                           openai.types.beta.threads.message_deleted
import time:       230 |        230 |                                           openai.types.beta.threads.run_list_params
import time:       207 |        207 |                                           openai.types.beta.threads.image_file_param
import time:       845 |        845 |                                                       openai.types.beta.threads.runs.function_tool_call
import time:      1987 |       1987 |                                                       openai.types.beta.threads.runs.file_search_tool_call
import time:      1562 |       1562 |                                                       openai.types.beta.threads.runs.code_interpreter_tool_call
import time:       221 |       4613 |                                                     openai.types.beta.threads.runs.tool_call
import time:       435 |       5047 |                                                   openai.types.beta.threads.runs.tool_calls_step_details
import time:       616 |        616 |                                                   openai.types.beta.threads.runs.message_creation_step_details
import time:      1601 |       7263 |                                                 openai.types.beta.threads.runs.run_step
import time:       776 |        776 |                                                       openai.types.beta.threads.runs.function_tool_call_delta
import time:       439 |        439 |                                                       openai.types.beta.threads.runs.file_search_tool_call_delta
import time:       424 |        424 |                                                         openai.types.beta.threads.runs.code_interpreter_logs
import time:       663 |        663 |                                                         openai.types.beta.threads.runs.code_interpreter_output_image
import time:       857 |       1943 |                                                       openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:       230 |       3387 |                                                     openai.types.beta.threads.runs.tool_call_delta
import time:       428 |       3814 |                                                   openai.types.beta.threads.runs.tool_call_delta_object
import time:       744 |        744 |                                                   openai.types.beta.threads.runs.run_step_delta_message_delta
import time:       502 |       5059 |                                                 openai.types.beta.threads.runs.run_step_delta
import time:       165 |        165 |                                                 openai.types.beta.threads.runs.run_step_include
import time:       276 |        276 |                                                 openai.types.beta.threads.runs.step_list_params
import time:       430 |        430 |                                                 openai.types.beta.threads.runs.run_step_delta_event
import time:       232 |        232 |                                                 openai.types.beta.threads.runs.step_retrieve_params
import time:       301 |      13724 |                                               openai.types.beta.threads.runs
import time:        20 |      13743 |                                             openai.types.beta.threads.runs.run_step_include
import time:       223 |        223 |                                               openai.types.beta.threads.text_content_block_param
import time:       201 |        201 |                                               openai.types.beta.threads.image_url_content_block_param
import time:       201 |        201 |                                               openai.types.beta.threads.image_file_content_block_param
import time:       186 |        809 |                                             openai.types.beta.threads.message_content_part_param
import time:       172 |        172 |                                                 openai.types.beta.assistant_tool_choice_function_param
import time:       244 |        416 |                                               openai.types.beta.assistant_tool_choice_param
import time:       186 |        601 |                                             openai.types.beta.assistant_tool_choice_option_param
import time:       172 |        172 |                                             openai.types.beta.assistant_response_format_option_param
import time:       960 |      16284 |                                           openai.types.beta.threads.run_create_params
import time:       218 |        218 |                                           openai.types.beta.threads.run_update_params
import time:       442 |        442 |                                           openai.types.beta.threads.message_delta_event
import time:       266 |        266 |                                           openai.types.beta.threads.message_list_params
import time:       409 |        409 |                                           openai.types.beta.threads.message_create_params
import time:       202 |        202 |                                           openai.types.beta.threads.message_update_params
import time:       469 |        469 |                                           openai.types.beta.threads.run_submit_tool_outputs_params
import time:       489 |      37700 |                                         openai.types.beta.threads
import time:        23 |      37723 |                                       openai.types.beta.threads.message_content_part_param
import time:      4125 |      41847 |                                     openai.types.beta.thread_create_params
import time:       905 |        905 |                                     openai.types.beta.thread_update_params
import time:       546 |        546 |                                     openai.types.beta.assistant_list_params
import time:     11425 |      11425 |                                     openai.types.beta.assistant_stream_event
import time:      2811 |       2811 |                                     openai.types.beta.assistant_create_params
import time:      1698 |       1698 |                                     openai.types.beta.assistant_update_params
import time:      5369 |       5369 |                                     openai.types.beta.thread_create_and_run_params
import time:       436 |      76186 |                                   openai.types.beta
import time:       608 |      76793 |                                 openai.lib.streaming._assistants
import time:       142 |      76935 |                               openai.lib.streaming
import time:     14256 |      14256 |                               openai.lib.streaming.chat._types
import time:      3736 |       3736 |                               openai.lib.streaming.chat._events
import time:       352 |        352 |                                   jiter.jiter
import time:       217 |        569 |                                 jiter
import time:       132 |        132 |                                 openai.lib.streaming._deltas
import time:       556 |       1256 |                               openai.lib.streaming.chat._completions
import time:       250 |      96431 |                             openai.lib.streaming.chat
import time:       431 |     178648 |                           openai.resources.beta.chat.completions
import time:       206 |     178853 |                         openai.resources.beta.chat.chat
import time:       127 |     178979 |                       openai.resources.beta.chat
import time:        22 |     179001 |                     openai.resources.beta.chat.chat
import time:      4111 |       4111 |                       openai.pagination
import time:       406 |       4516 |                     openai.resources.beta.assistants
import time:       282 |        282 |                             openai.resources.beta.threads.runs.steps
import time:      1139 |       1420 |                           openai.resources.beta.threads.runs.runs
import time:       192 |       1611 |                         openai.resources.beta.threads.runs
import time:       325 |        325 |                           openai.resources.beta.threads.messages
import time:       621 |        946 |                         openai.resources.beta.threads.threads
import time:       191 |       2748 |                       openai.resources.beta.threads
import time:        19 |       2766 |                     openai.resources.beta.threads.threads
import time:      2508 |       2508 |                               openai.types.beta.realtime.session
import time:       809 |        809 |                               openai.types.beta.realtime.error_event
import time:       676 |        676 |                                 openai.types.beta.realtime.conversation_item_content
import time:       793 |       1469 |                               openai.types.beta.realtime.conversation_item
import time:      1315 |       1315 |                                 openai.types.beta.realtime.realtime_response_usage
import time:       977 |        977 |                                 openai.types.beta.realtime.realtime_response_status
import time:       948 |       3239 |                               openai.types.beta.realtime.realtime_response
import time:       424 |        424 |                               openai.types.beta.realtime.response_done_event
import time:      2255 |       2255 |                               openai.types.beta.realtime.session_update_event
import time:       492 |        492 |                                 openai.types.beta.realtime.response_cancel_event
import time:      1670 |       1670 |                                   openai.types.beta.realtime.conversation_item_with_reference
import time:      1843 |       3512 |                                 openai.types.beta.realtime.response_create_event
import time:      2534 |       2534 |                                 openai.types.beta.realtime.transcription_session_update
import time:       568 |        568 |                                 openai.types.beta.realtime.conversation_item_create_event
import time:      1812 |       1812 |                                 openai.types.beta.realtime.conversation_item_delete_event
import time:       521 |        521 |                                 openai.types.beta.realtime.input_audio_buffer_clear_event
import time:       496 |        496 |                                 openai.types.beta.realtime.input_audio_buffer_append_event
import time:       468 |        468 |                                 openai.types.beta.realtime.input_audio_buffer_commit_event
import time:       495 |        495 |                                 openai.types.beta.realtime.conversation_item_retrieve_event
import time:       612 |        612 |                                 openai.types.beta.realtime.conversation_item_truncate_event
import time:       392 |      11897 |                               openai.types.beta.realtime.realtime_client_event
import time:       427 |        427 |                                 openai.types.beta.realtime.session_created_event
import time:       528 |        528 |                                 openai.types.beta.realtime.session_updated_event
import time:       452 |        452 |                                 openai.types.beta.realtime.response_created_event
import time:       525 |        525 |                                 openai.types.beta.realtime.response_text_done_event
import time:      1036 |       1036 |                                 openai.types.beta.realtime.rate_limits_updated_event
import time:       505 |        505 |                                 openai.types.beta.realtime.response_audio_done_event
import time:       524 |        524 |                                 openai.types.beta.realtime.response_text_delta_event
import time:       817 |        817 |                                 openai.types.beta.realtime.conversation_created_event
import time:       504 |        504 |                                 openai.types.beta.realtime.response_audio_delta_event
import time:       624 |        624 |                                 openai.types.beta.realtime.conversation_item_created_event
import time:       439 |        439 |                                 openai.types.beta.realtime.conversation_item_deleted_event
import time:       499 |        499 |                                 openai.types.beta.realtime.response_output_item_done_event
import time:       420 |        420 |                                 openai.types.beta.realtime.input_audio_buffer_cleared_event
import time:      1046 |       1046 |                                 openai.types.beta.realtime.response_content_part_done_event
import time:       502 |        502 |                                 openai.types.beta.realtime.response_output_item_added_event
import time:       481 |        481 |                                 openai.types.beta.realtime.conversation_item_truncated_event
import time:       931 |        931 |                                 openai.types.beta.realtime.response_content_part_added_event
import time:       505 |        505 |                                 openai.types.beta.realtime.input_audio_buffer_committed_event
import time:      2674 |       2674 |                                   openai.types.beta.realtime.transcription_session
import time:       484 |       3157 |                                 openai.types.beta.realtime.transcription_session_updated_event
import time:       709 |        709 |                                 openai.types.beta.realtime.response_audio_transcript_done_event
import time:       526 |        526 |                                 openai.types.beta.realtime.response_audio_transcript_delta_event
import time:       484 |        484 |                                 openai.types.beta.realtime.input_audio_buffer_speech_started_event
import time:       466 |        466 |                                 openai.types.beta.realtime.input_audio_buffer_speech_stopped_event
import time:       623 |        623 |                                 openai.types.beta.realtime.response_function_call_arguments_done_event
import time:       515 |        515 |                                 openai.types.beta.realtime.response_function_call_arguments_delta_event
import time:      1040 |       1040 |                                 openai.types.beta.realtime.conversation_item_input_audio_transcription_delta_event
import time:      1090 |       1090 |                                 openai.types.beta.realtime.conversation_item_input_audio_transcription_failed_event
import time:       995 |        995 |                                 openai.types.beta.realtime.conversation_item_input_audio_transcription_completed_event
import time:       969 |      21326 |                               openai.types.beta.realtime.realtime_server_event
import time:       776 |        776 |                               openai.types.beta.realtime.session_create_params
import time:       234 |        234 |                                 openai.types.beta.realtime.conversation_item_content_param
import time:       313 |        546 |                               openai.types.beta.realtime.conversation_item_param
import time:       190 |        190 |                               openai.types.beta.realtime.realtime_connect_params
import time:      1773 |       1773 |                               openai.types.beta.realtime.session_create_response
import time:       822 |        822 |                               openai.types.beta.realtime.session_update_event_param
import time:       333 |        333 |                                 openai.types.beta.realtime.response_cancel_event_param
import time:       384 |        384 |                                   openai.types.beta.realtime.conversation_item_with_reference_param
import time:       550 |        933 |                                 openai.types.beta.realtime.response_create_event_param
import time:       605 |        605 |                                 openai.types.beta.realtime.transcription_session_update_param
import time:       243 |        243 |                                 openai.types.beta.realtime.conversation_item_create_event_param
import time:       214 |        214 |                                 openai.types.beta.realtime.conversation_item_delete_event_param
import time:       193 |        193 |                                 openai.types.beta.realtime.input_audio_buffer_clear_event_param
import time:       205 |        205 |                                 openai.types.beta.realtime.input_audio_buffer_append_event_param
import time:       194 |        194 |                                 openai.types.beta.realtime.input_audio_buffer_commit_event_param
import time:       219 |        219 |                                 openai.types.beta.realtime.conversation_item_retrieve_event_param
import time:       237 |        237 |                                 openai.types.beta.realtime.conversation_item_truncate_event_param
import time:       320 |       3691 |                               openai.types.beta.realtime.realtime_client_event_param
import time:       510 |        510 |                               openai.types.beta.realtime.transcription_session_create_params
import time:       616 |      52844 |                             openai.types.beta.realtime
import time:       409 |      53252 |                           openai.resources.beta.realtime.sessions
import time:       287 |        287 |                           openai.resources.beta.realtime.transcription_sessions
import time:       836 |      54374 |                         openai.resources.beta.realtime.realtime
import time:       167 |      54540 |                       openai.resources.beta.realtime
import time:        18 |      54558 |                     openai.resources.beta.realtime.realtime
import time:       351 |     241189 |                   openai.resources.beta.beta
import time:       201 |     241389 |                 openai.resources.beta
import time:       265 |        265 |                             openai.types.chat.completions.message_list_params
import time:       139 |        403 |                           openai.types.chat.completions
import time:       286 |        689 |                         openai.resources.chat.completions.messages
import time:       678 |        678 |                         openai.resources.chat.completions.completions
import time:       151 |       1516 |                       openai.resources.chat.completions
import time:        18 |       1534 |                     openai.resources.chat.completions.completions
import time:       262 |       1796 |                   openai.resources.chat.chat
import time:       166 |       1961 |                 openai.resources.chat
import time:       469 |        469 |                         openai.types.audio.translation
import time:       150 |        150 |                         openai.types.audio.speech_model
import time:       736 |        736 |                         openai.types.audio.transcription
import time:       385 |        385 |                         openai.types.audio.transcription_word
import time:       497 |        497 |                           openai.types.audio.transcription_segment
import time:       470 |        967 |                         openai.types.audio.translation_verbose
import time:       340 |        340 |                         openai.types.audio.speech_create_params
import time:       152 |        152 |                         openai.types.audio.transcription_include
import time:       487 |        487 |                         openai.types.audio.transcription_verbose
import time:       274 |        274 |                         openai.types.audio.translation_create_params
import time:       880 |        880 |                           openai.types.audio.transcription_text_done_event
import time:       771 |        771 |                           openai.types.audio.transcription_text_delta_event
import time:       211 |       1861 |                         openai.types.audio.transcription_stream_event
import time:       460 |        460 |                         openai.types.audio.transcription_create_params
import time:       152 |        152 |                         openai.types.audio.translation_create_response
import time:       137 |        137 |                         openai.types.audio.transcription_create_response
import time:       392 |       6954 |                       openai.types.audio
import time:       257 |       7210 |                     openai.resources.audio.speech
import time:       312 |        312 |                     openai.resources.audio.translations
import time:       466 |        466 |                     openai.resources.audio.transcriptions
import time:       312 |       8298 |                   openai.resources.audio.audio
import time:       168 |       8465 |                 openai.resources.audio
import time:       428 |        428 |                             openai.types.evals.eval_api_error
import time:       242 |        242 |                             openai.types.evals.run_list_params
import time:       426 |        426 |                               openai.types.evals.create_eval_jsonl_run_data_source_param
import time:      1151 |       1151 |                               openai.types.evals.create_eval_completions_run_data_source_param
import time:       259 |       1835 |                             openai.types.evals.run_create_params
import time:      1371 |       1371 |                               openai.types.evals.create_eval_jsonl_run_data_source
import time:      3918 |       3918 |                               openai.types.evals.create_eval_completions_run_data_source
import time:      1664 |       6952 |                             openai.types.evals.run_list_response
import time:      2760 |       2760 |                             openai.types.evals.run_cancel_response
import time:      1618 |       1618 |                             openai.types.evals.run_create_response
import time:       425 |        425 |                             openai.types.evals.run_delete_response
import time:      1675 |       1675 |                             openai.types.evals.run_retrieve_response
import time:       284 |      16215 |                           openai.types.evals
import time:       314 |        314 |                           openai.types.evals.runs.output_item_list_params
import time:      1715 |       1715 |                           openai.types.evals.runs.output_item_list_response
import time:      1743 |       1743 |                           openai.types.evals.runs.output_item_retrieve_response
import time:       204 |      20189 |                         openai.types.evals.runs
import time:       440 |      20628 |                       openai.resources.evals.runs.output_items
import time:       370 |      20998 |                     openai.resources.evals.runs.runs
import time:       184 |      21181 |                   openai.resources.evals.runs
import time:       385 |        385 |                   openai.resources.evals.evals
import time:       171 |      21735 |                 openai.resources.evals
import time:       368 |        368 |                 openai.resources.files
import time:       281 |        281 |                 openai.resources.images
import time:       252 |        252 |                 openai.resources.models
import time:       275 |        275 |                 openai.resources.batches
import time:       493 |        493 |                       openai.types.uploads.upload_part
import time:       198 |        198 |                       openai.types.uploads.part_create_params
import time:       271 |        961 |                     openai.types.uploads
import time:       279 |       1240 |                   openai.resources.uploads.parts
import time:       369 |        369 |                   openai.resources.uploads.uploads
import time:       159 |       1767 |                 openai.resources.uploads
import time:       253 |        253 |                     openai.resources.responses.input_items
import time:       215 |        215 |                     openai.lib._parsing._responses
import time:     22722 |      22722 |                         openai.lib.streaming.responses._events
import time:      2878 |       2878 |                           openai.lib.streaming.responses._types
import time:       501 |       3379 |                         openai.lib.streaming.responses._responses
import time:       174 |      26274 |                       openai.lib.streaming.responses
import time:        18 |      26291 |                     openai.lib.streaming.responses._responses
import time:       702 |      27459 |                   openai.resources.responses.responses
import time:       152 |      27610 |                 openai.resources.responses
import time:       133 |        133 |                       openai._extras._common
import time:       246 |        378 |                     openai._extras.numpy_proxy
import time:       174 |        174 |                     openai._extras.pandas_proxy
import time:       161 |        161 |                     openai._extras.sounddevice_proxy
import time:       185 |        898 |                   openai._extras
import time:       347 |       1244 |                 openai.resources.embeddings
import time:       668 |        668 |                 openai.resources.completions
import time:       567 |        567 |                                 openai.types.fine_tuning.fine_tuning_job_wandb_integration
import time:       392 |        959 |                               openai.types.fine_tuning.fine_tuning_job_wandb_integration_object
import time:      3070 |       4028 |                             openai.types.fine_tuning.fine_tuning_job
import time:       262 |        262 |                             openai.types.fine_tuning.job_list_params
import time:       885 |        885 |                             openai.types.fine_tuning.job_create_params
import time:       595 |        595 |                             openai.types.fine_tuning.fine_tuning_job_event
import time:       203 |        203 |                             openai.types.fine_tuning.job_list_events_params
import time:       119 |        119 |                             openai.types.fine_tuning.fine_tuning_job_integration
import time:       198 |       6288 |                           openai.types.fine_tuning
import time:       236 |        236 |                           openai.types.fine_tuning.jobs.checkpoint_list_params
import time:       896 |        896 |                           openai.types.fine_tuning.jobs.fine_tuning_job_checkpoint
import time:       175 |       7593 |                         openai.types.fine_tuning.jobs
import time:       237 |       7829 |                       openai.resources.fine_tuning.jobs.checkpoints
import time:       355 |       8184 |                     openai.resources.fine_tuning.jobs.jobs
import time:       205 |       8388 |                   openai.resources.fine_tuning.jobs
import time:       243 |        243 |                           openai.types.fine_tuning.checkpoints.permission_create_params
import time:       459 |        459 |                           openai.types.fine_tuning.checkpoints.permission_create_response
import time:       403 |        403 |                           openai.types.fine_tuning.checkpoints.permission_delete_response
import time:       239 |        239 |                           openai.types.fine_tuning.checkpoints.permission_retrieve_params
import time:       773 |        773 |                           openai.types.fine_tuning.checkpoints.permission_retrieve_response
import time:       193 |       2308 |                         openai.types.fine_tuning.checkpoints
import time:       325 |       2633 |                       openai.resources.fine_tuning.checkpoints.permissions
import time:       373 |       3005 |                     openai.resources.fine_tuning.checkpoints.checkpoints
import time:       149 |       3154 |                   openai.resources.fine_tuning.checkpoints
import time:       256 |        256 |                   openai.resources.fine_tuning.fine_tuning
import time:       196 |      11993 |                 openai.resources.fine_tuning
import time:       275 |        275 |                 openai.resources.moderations
import time:       325 |        325 |                       openai.types.vector_stores.file_list_params
import time:       983 |        983 |                       openai.types.vector_stores.vector_store_file
import time:       245 |        245 |                       openai.types.vector_stores.file_create_params
import time:       222 |        222 |                       openai.types.vector_stores.file_update_params
import time:       368 |        368 |                       openai.types.vector_stores.file_content_response
import time:       747 |        747 |                       openai.types.vector_stores.vector_store_file_batch
import time:       279 |        279 |                       openai.types.vector_stores.file_batch_create_params
import time:       398 |        398 |                       openai.types.vector_stores.vector_store_file_deleted
import time:       271 |        271 |                       openai.types.vector_stores.file_batch_list_files_params
import time:       249 |       4082 |                     openai.types.vector_stores
import time:       530 |       4611 |                   openai.resources.vector_stores.files
import time:        68 |         68 |                         _queue
import time:       305 |        373 |                       queue
import time:       299 |        671 |                     concurrent.futures.thread
import time:      1690 |       2361 |                   openai.resources.vector_stores.file_batches
import time:       401 |        401 |                   openai.resources.vector_stores.vector_stores
import time:       174 |       7544 |                 openai.resources.vector_stores
import time:       308 |     326129 |               openai.resources
import time:       524 |     327564 |             openai._client
import time:       796 |        796 |             openai.lib.azure
import time:       127 |        127 |             openai.version
import time:       257 |        257 |             openai.lib._old_api
import time:       790 |        790 |             openai._module_client
